A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,400,550,7,0.621,0.6749447519,0.868,0.1189348907,0.487728697,0.3435562559999999,0.235294898,0.335150342
50,400,550,8,4.0,1.108514962,0.0,0.1668872032,0.346285613,0.3032352379999999,0.2561639369999999,0.2807881929999999
50,400,550,8,2.25,1.0681694939999995,0.0,0.1592190449,0.3605976939999999,0.297822622,0.248962334,0.28724261
50,400,550,8,1.565,1.01407831,0.001,0.1511951624,0.378051422,0.287603414,0.242138888,0.2939209509999999
50,400,550,8,1.2,0.996499526,0.003,0.1445540264,0.385533571,0.281323918,0.239040941,0.2976300249999999
50,400,550,8,0.973,0.977735808,0.003,0.1429408652,0.391547365,0.2771188409999999,0.237322139,0.301304654
50,400,550,8,0.818,0.959290536,0.002,0.1396257072,0.398491608,0.269910308,0.23343888,0.305893421
50,400,550,8,0.706,0.6904688506,0.679,0.124513431,0.477236607,0.335127776,0.232822871,0.335753602
50,400,550,8,0.621,0.6391543031000001,0.759,0.1273348558,0.487103428,0.340181048,0.2331655504999999,0.340216945
50,400,550,9,4.0,1.091365147,0.001,0.168802321,0.347567613,0.304186464,0.2562388549999999,0.280562807
50,400,550,9,2.25,1.0557986119999998,0.003,0.1560405638,0.364686946,0.293200595,0.248972466,0.28870535
50,400,550,9,1.565,1.0101017,0.003,0.1516209673,0.3784542669999999,0.285103935,0.243247183,0.293229193
50,400,550,9,1.2,0.994614889,0.002,0.1467661072,0.38566256,0.280273996,0.239653096,0.299168683
50,400,550,9,0.973,0.9748907,0.002,0.1425042857,0.392253983,0.275396647,0.237021648,0.3029888409999999
50,400,550,9,0.818,0.950458709,0.003,0.1376643756,0.400358886,0.2706911229999999,0.233592268,0.306833382
50,400,550,9,0.706,0.61447205,0.791,0.1286430429,0.488300956,0.3408570939999999,0.2271402749999999,0.3431797689999999
50,400,550,9,0.621,0.5984251558,0.827,0.1286420964,0.4923401149999999,0.343995897,0.230737256,0.3447157859999999
50,400,550,10,4.0,1.095142587,0.0,0.1677694885,0.347535257,0.303445402,0.2579454859999999,0.282554248
50,400,550,10,2.25,1.057566553,0.001,0.1587833628999999,0.362905649,0.293590372,0.248095412,0.288287037
50,400,550,10,1.565,1.0257938569999998,0.0,0.1512318744,0.3762682059999999,0.284044169,0.241877161,0.2973631229999999
50,400,550,10,1.2,1.0116237179999998,0.0,0.1476039787,0.380625395,0.282914934,0.238546509,0.296362219
50,400,550,10,0.973,0.985701229,0.005,0.1398245133,0.391341726,0.27253528,0.234787058,0.304160077
50,400,550,10,0.818,0.978265303,0.002,0.1425712977,0.391749297,0.275239729,0.235470694,0.30379311
50,400,550,10,0.706,0.6429945761,0.736,0.1297724018,0.482358639,0.339208909,0.228705803,0.342574814
50,400,550,10,0.621,0.6153014491000001,0.795,0.1275275284,0.491767374,0.343187062,0.2328670099999999,0.3462335259999999
50,150,800,1,4.0,1.1596701310000002,0.0,0.1652374244999999,0.3486447919999999,0.3016229589999999,0.252888928,0.281912731
50,150,800,1,2.25,1.095651621,0.001,0.1554963668,0.368721559,0.290237251,0.241922249,0.2922283549999999
50,150,800,1,1.565,1.052757051,0.007,0.147908366,0.384995061,0.284368572,0.236748073,0.300857277
